                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.62252,                0.41822,                0.86043,                0.99192,                0.97642,                 0.9863,                0.85856,                0.53909,                 0.3413,                0.83036,             0.00031562,             0.00031562,             0.00031562
                     52,                0.62357,                0.41805,                0.86111,                0.99303,                0.97647,                0.98601,                0.85824,                0.53923,                0.33806,                 0.8323,             0.00030944,             0.00030944,             0.00030944
                     53,                0.61867,                0.41393,                0.85785,                0.99653,                0.97416,                0.98595,                0.86098,                0.53117,                0.33893,                0.82737,             0.00030325,             0.00030325,             0.00030325
                     54,                0.61402,                0.40878,                0.85955,                0.99082,                0.97487,                 0.9856,                0.85068,                0.56028,                0.34338,                0.83635,             0.00029706,             0.00029706,             0.00029706
                     55,                0.61491,                0.41194,                0.85859,                 0.9945,                0.97852,                 0.9865,                0.86303,                0.53217,                0.33618,                 0.8297,             0.00029088,             0.00029088,             0.00029088
                     56,                 0.6036,                0.40246,                0.85377,                0.99328,                0.97527,                0.98569,                0.86569,                0.52857,                 0.3356,                0.82515,             0.00028469,             0.00028469,             0.00028469
                     57,                0.60218,                0.39986,                0.85532,                0.99583,                0.97552,                0.98611,                0.85946,                0.53663,                0.33376,                0.83079,              0.0002785,              0.0002785,              0.0002785
                     58,                0.59887,                0.40269,                 0.8535,                0.99101,                0.98021,                0.98577,                0.85664,                0.54444,                0.33544,                0.83217,             0.00027231,             0.00027231,             0.00027231
                     59,                0.61006,                0.40359,                0.85816,                0.99318,                0.98018,                0.98605,                0.87006,                 0.5184,                0.32943,                0.82293,             0.00026613,             0.00026613,             0.00026613
                     60,                0.59472,                0.39521,                0.85417,                0.98931,                0.97871,                 0.9855,                 0.8699,                0.52289,                0.32416,                0.82989,             0.00025994,             0.00025994,             0.00025994
                     61,                0.58238,                0.39157,                0.85225,                0.99178,                0.98307,                0.98619,                0.86975,                0.51647,                0.32321,                0.82587,             0.00025375,             0.00025375,             0.00025375
