                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.74302,                0.47462,                0.89978,                0.98613,                 0.9734,                0.98145,                0.82279,                0.65636,                0.37965,                0.86757,               0.009142,               0.009142,               0.009142
                     54,                0.72121,                0.46781,                0.89704,                0.98816,                0.97346,                0.98461,                0.82833,                0.61972,                0.37981,                0.86203,              0.0091255,              0.0091255,              0.0091255
                     55,                0.73948,                0.46975,                0.90055,                0.99005,                0.96678,                0.98327,                0.80767,                0.67056,                0.39796,                0.87978,               0.009109,               0.009109,               0.009109
                     56,                0.72645,                0.46253,                0.89223,                0.98282,                0.97861,                0.98601,                0.83079,                0.61059,                0.37309,                0.85874,              0.0090925,              0.0090925,              0.0090925
                     57,                0.72059,                0.45693,                0.89324,                0.98322,                0.98322,                 0.9866,                0.83372,                0.61874,                0.37696,                0.86211,               0.009076,               0.009076,               0.009076
                     58,                0.71328,                0.45271,                0.88897,                0.98542,                0.98334,                0.98647,                0.84748,                0.59612,                0.36834,                0.85074,              0.0090595,              0.0090595,              0.0090595
                     59,                0.71616,                0.45913,                0.89553,                  0.991,                 0.9701,                0.98121,                0.81993,                0.64486,                0.37577,                0.86622,               0.009043,               0.009043,               0.009043
                     60,                0.73449,                0.45755,                0.89563,                0.98587,                0.97192,                0.98267,                0.82261,                0.62889,                 0.3769,                0.86586,              0.0090265,              0.0090265,              0.0090265
                     61,                0.70158,                0.44336,                0.88991,                0.98812,                0.97514,                0.98516,                0.83539,                0.60824,                 0.3677,                0.85981,                0.00901,                0.00901,                0.00901
                     62,                0.70433,                0.44477,                0.88175,                 0.9861,                0.97956,                0.98532,                0.82956,                0.62637,                0.37151,                0.85893,              0.0089935,              0.0089935,              0.0089935
                     63,                0.69788,                0.45079,                0.88916,                0.98416,                0.97188,                0.98276,                0.83584,                0.59371,                0.37134,                0.85274,               0.008977,               0.008977,               0.008977
                     64,                0.69887,                0.44018,                0.88461,                0.98917,                0.98011,                 0.9857,                0.84518,                0.57385,                0.35597,                0.84683,              0.0089605,              0.0089605,              0.0089605
                     65,                 0.6888,                0.43556,                0.88697,                0.98842,                0.98007,                0.98514,                0.82983,                0.59534,                 0.3599,                 0.8517,               0.008944,               0.008944,               0.008944
                     66,                0.69902,                0.43511,                0.87918,                0.98434,                 0.9846,                0.98552,                0.83485,                0.58439,                0.35462,                0.84834,              0.0089275,              0.0089275,              0.0089275
